Comment,Designator,Footprint,LCSC Part #
"Module:ign8/0.2","M1","ign8",""
"ISL9V3040D3ST-F085C","U1","JLC_DPAK_L6.5-W6.0-P2.29-LS9.9-TL","C603080"
"5007620481","U2","CONN-TH_5007620481","C164171"
